Address,Allocation%,Points
0x3a68e7285857030C7bac691E18cB3DcfB7AB5031,0.17%,10
0x3Af99B245330E231Ce32C2B22B4aD45bc27e18cb,0.17%,10
0x3C801688980C1EAC1CF3ca9Ae3DC092dE29BC3Ab,0.17%,10
0x3cf36914EcC5Cbb2EdD1A51f88a9804F9D410b89,0.17%,10
0x3d435ff1e607a0cc2818ad272e7a7a678be81a0c,0.17%,10
0x3daddac5e7c1afa3f61de908a6094b549d2d3a8c,0.17%,10
0x3E1dCCDF07a014441178F1749dD14dc9160a87E6,0.17%,10
0x405608Bb4cA8bB1B3F8B7899Af815E4e3aDB068A,0.17%,10
0x4477544A455DD16a63D097B966a25F72978a8b79,0.17%,10
0x448811Ca2806a04AC3d1f356537dACC4D03AEE87,0.17%,10
0x44Df14477E3bc96F3d9eB2Bb970d7d1e65a55DE3,0.17%,10
0x457b2af50140d790d93396afb24f61ba9844520c,0.17%,10
0x45d06E16f5A52Cc85561D1C05704094cDc775508,0.17%,10
0x4702f25D0870fb2B3eFD50742d93243F57b7262b,0.17%,10
0x4843eEee9C10822e040d8119691dA909192680dc,0.17%,10
0x48d7d9E85f90C3489910e5E3461d19DB29a9A35B,0.17%,10
0x49445612EdE0B56c0acf0CFC7c866F5D33Ab2d75,0.17%,10
0x4bEFc34640B675E1E8f0c85c0600892cC858b0c1,0.17%,10
0x4d02af17a29cda77416a1f60eae9092bb6d9c026,0.17%,10
0x4d998A13Af3007D4779ec7bf5d2e8a3DE809187D,0.17%,10
0x4e505ba5bbc29483cbcae0f32f8d675516e8904f,0.17%,10
0x505d9a260000fA2D35440cB9DbfF37024038D798,0.17%,10
0x50aBE6d73bc1A4A20e87D9707eBAC862fBF0CD50,0.17%,10
0x50cd754e956f7a4026185d195cd4b6bd990408b5,0.17%,10
0x50e49a3237454e3538bcCCeE025282e30E2C509d,0.17%,10
0x523c1eD71f187c80bffBD37a4555fC9Fa6F0EE4A,0.17%,10
0x5623653B86921e316f481F5C5EAdc89E1809e5fE,0.17%,10
0x56833C6A0Ba7AA5Ee749A2c3dEa3039f5383cEF8,0.17%,10
0x56f66eF97E8a04b67BF24c1BF57C948665493E24,0.17%,10
0x5AcA8d6Ef53678CbD234911523362fD7EF37D550,0.17%,10
0x5c6EAb623d6077cf754aDBeA779a127C2a97539D,0.17%,10
0x5e39F37B10FD3d55F27aA21f4b82a03bd0AB34A2,0.17%,10
0x5f07edCF840b55A6a896F93050fC082C668A0254,0.17%,10
0x5fb868276de70305D759D26F6d7F272b7F369bC5,0.17%,10
0x60540071b9d49749993C269cEfcc46E1EEb43d8a,0.17%,10
0x619dBa6A9494FeA1F551810882D7BcE91e374aE0,0.17%,10
